Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,11956","0,28002","-0,074943",0,0,0,"0,051465","0,00010641","-2,933E-07","-2,4366E-08","0,00014761","4,7194E-07","0,00010682",0,0,0,0,0,0,package://urdife/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdife/meshes/base_link.STL,,arm(2)-1/basecone-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"0,044112","0,0254","0,0053982",0,0,0,"0,050423","1,3732E-05","7,038E-11","5,1523E-07","2,9216E-05","1,7786E-11","4,1856E-05",0,0,0,0,0,0,package://urdife/meshes/link_1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdife/meshes/link_1.STL,,arm(2)-1/shoulderplate-1,Origin_join_1,,join_1,revolute,"-0,061706","0,054228","0,20834","-3,1416",0,"-3,0527",base_link,0,0,0,0,0,0,0,,,,,,,,
link_2,"-1,197E-07","0,0028309","0,026779",0,0,0,"0,044672","5,7206E-05","-1,7014E-10","-7,1252E-11","5,4409E-05","1,0719E-06","8,0654E-05",0,0,0,0,0,0,package://urdife/meshes/link_2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdife/meshes/link_2.STL,,arm(2)-1/shouldershell-1,Origin_join_2,,join_2,fixed,"0,0381","0,0254","0,05715","-1,5708",0,"1,5708",link_1,0,0,0,,,,,,,,,,,,
link_3,"0,17161","0,17839","-0,10482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://urdife/meshes/link_3.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdife/meshes/link_3.STL,,arm(2)-1/UpperArm-1,Origin_join_3,,join_3,revolute,"0,16112","-0,12382","-0,010076","-3,1416",0,"-2,226",link_2,0,0,0,0,0,0,0,,,,,,,,
link_4,"-0,0059946","-2,616E-05","0,027858",0,0,0,"0,021931","1,4936E-05","-1,2507E-08","9,1978E-07","1,7274E-05","1,8662E-08","1,9688E-05",0,0,0,0,0,0,package://urdife/meshes/link_4.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdife/meshes/link_4.STL,,arm(2)-1/DiffPlanet30-1/elbowshell-1,Origin_join_4,,join_4,fixed,0,0,"-0,00635",0,0,"-1,5708",link_3,0,0,0,,,,,,,,,,,,
link_5,"0,00446839525545415","-6,68313540685972E-06","0,104440745875309",0,0,0,"0,0494145711938047","0,000173085818089865","-4,5384317442674E-10","-1,15203565977359E-05","0,000171074328275662","9,98066618975896E-09","1,84399451477666E-05",0,0,0,0,0,0,package://urdife/meshes/link_5.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdife/meshes/link_5.STL,,arm(2)-1/Forearm-1,Origin_joint_5,,joint_5,revolute,"-0,020179","-0,14978","-0,044358","-1,3654","-1,5708","-0,34916",link_4,0,0,0,0,0,0,0,,,,,,,,
link_6,"-1,88929013174854E-05","0,00405924531444479","0,0173889742033704",0,0,0,"0,0118211467397755","5,57038509842165E-06","2,1955646015406E-08","-1,69082490866416E-09","4,74088053048569E-06","-1,51697340694556E-07","7,24397946196453E-06",0,0,0,0,0,0,package://urdife/meshes/link_6.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdife/meshes/link_6.STL,,arm(2)-1/wristshell-3,Origin_join_6,,join_6,fixed,"0,012002",0,"-0,02667","1,5708",0,"-1,5708",link_5,0,0,0,,,,,,,,,,,,
link_7,"-1,88951041850405E-05","0,00405926575451923","0,0173889821027933",0,0,0,"0,0118211452654846","5,57038515923717E-06","2,19534713312937E-08","-1,68922011393164E-09","4,7408795971409E-06","-1,51697740103605E-07","7,24397926766796E-06",0,0,0,0,0,0,package://urdife/meshes/link_7.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdife/meshes/link_7.STL,,arm(2)-1/wristshell-2,Origin_join_7,,join_7,revolute,"-0,011414","-0,0037077","-0,046124","1,5708",0,"1,8849",link_6,0,0,0,0,0,0,0,,,,,,,,
link_8,"-1,8897E-05","0,0040593","0,017389",0,0,0,"0,011821","5,5704E-06","2,1955E-08","-1,6889E-09","4,7409E-06","-1,517E-07","7,244E-06",0,0,0,0,0,0,package://urdife/meshes/link_8.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdife/meshes/link_8.STL,,arm(2)-1/wristshell-1,Origin_join_8,,join_8,revolute,"-0,010728","-0,0053805","-0,046124","1,5708",0,"2,0357",link_7,0,0,0,0,0,0,0,,,,,,,,
link_9,"3,0927E-07","0,015804","-0,0071111",0,0,0,"0,014234","3,3183E-06","-4,3289E-10","1,5659E-10","1,5444E-06","1,1972E-06","2,6396E-06",0,0,0,0,0,0,package://urdife/meshes/link_9.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdife/meshes/link_9.STL,,arm(2)-1/GripAssem-1/finger2-1;arm(2)-1/GripAssem-1/fingertip2-1,Origin_join_9,,join_9,revolute,"-0,01669","-0,005178","-0,066634","-1,4779",0,"-1,27",link_8,0,0,0,0,0,0,0,,,,,,,,
link_10,"1,7343E-06","0,015802","-0,0071107",0,0,0,"0,014234","3,3183E-06","-4,0789E-10","3,0188E-10","1,5444E-06","1,1971E-06","2,6396E-06",0,0,0,0,0,0,package://urdife/meshes/link_10.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdife/meshes/link_10.STL,,arm(2)-1/GripAssem-1/finger2-2;arm(2)-1/GripAssem-1/fingertip2-2,Origin_join_10,,join_10,revolute,0,"0,0032408","0,0348","-2,9559",0,"3,1416",link_9,0,0,0,10,50,"-1,57","1,57",,,,,,,,
